,Title,Authors,Description,Category
957,blink: the power of thinking without thinking,malcolm gladwell,"the landmark book that has revolutionized the way we understand leadership and decision making--from #1 bestselling author malcolm gladwell.                in his breakthrough bestseller the tipping point, malcolm gladwell redefined how we understand the world around us. now, in blink, he revolutionizes the way we understand the world within.blink is a book about how we think without thinking, about choices that seem to be made in an instant--in the blink of an eye--that actually aren't as simple as they seem. why are some people brilliant decision makers, while others are consistently inept? why do some people follow their instincts and win, while others end up stumbling into error? how do our brains really work--in the office, in the classroom, in the kitchen, and in the bedroom? and why are the best decisions often those that are impossible to explain to others?in blink we meet the psychologist who has learned to predict whether a marriage will last, based on a few minutes of observing a couple; the tennis coach who knows when a player will double-fault before the racket even makes contact with the ball; the antiquities experts who recognize a fake at a glance. here, too, are great failures of ""blink"": the election of warren harding; ""new coke""; and the shooting of amadou diallo by police.blink reveals that great decision makers aren't those who process the most information or spend the most time deliberating, but those who have perfected the art of ""thin-slicing""--filtering the very few factors that matter from an overwhelming number of variables.","psychology , cognitive psychology and cognition"
958,smart speaking: 60-second strategies for more than 100 speaking problems and fears,"marcia yudkin, laurie schloff","a guide to effective speech offers to-the-point, practical advice on breaking into a conversation, keeping cool in front of a group, getting past a protective secretary on the telephone, keeping meetings on track, and more. reprint.","psychology , cognitive psychology and cognition"
959,powerful learning,ronald s. brandt,"describes conditions that promote learning in school, providing examples of real schools to illustrate how those conditions apply to students in the classroom.","psychology , cognitive psychology and cognition"
960,"the danger tree: memory, war and the search for a family's past",david macfarlane,"emulating the circuitous tales told by his mother's relatives, the goodyears of newfoundland, david macfarlane has crafted a masterpiece of history and memory that will remain indelibly in the minds of its readers. macfarlane weaves the major events of newfoundland's twentieth century-the ravages of tuberculosis; the great seal-hunt disaster; the bitter debate over whether to become part of canada; and above all, the first world war-into a saga of the ill-starred yet heroic fortunes of his family, who were rarely in control of events but often at the center of them. with deep affection, he brings to life a multigenerational cast of characters who are as colorful as only newfoundlanders can be-heroes and charlatans, pirates and dreamers, whose humanity manages to illuminate and enrich our own.","psychology , cognitive psychology and cognition"
961,notebooks of the mind: explorations of thinking,vera john-steiner,"analyzes the thought processes of creative individuals, suggests a model for intellectual development, and discusses different modes of thinking","psychology , cognitive psychology and cognition"
962,"in the mind's eye: visual thinkers, gifted people with learning difficulties, computer images, and the ironies of creativity",thomas g. west,"provides an overview of verbal disabilities, and profiles ten famous creative thinkers who overcame their handicap","psychology , cognitive psychology and cognition"
963,"the art of the possible: a compassionate approach to understanding the way people think, learn and communicate",dawna markova,"the art of the possible presents an innovative approach to understanding the way people think, learn, and communicate. according to dr. markova, each person's brain organizes, remembers and creates using three different pathways--auditory, visual, and kinesthetic. these combine to form one of six possible patterns. the art of the possible helps you identify yours and use it effectively.","psychology , cognitive psychology and cognition"
964,memory and brain,"larry r., squire","written by a leading neuropsychologist, this book brings together the widely scattered psychological and neurobiological work on memory to create a definitive overview of current knowledge.  reflecting the many levels of analysis at which this work is taking place, the book proceeds from the synapse to a review of the function and structure of neural systems and the organization of cognition. throughout, the author places current research in historical perspective, and identifies major ideas and themes that have emerged in recent years in order to provide a solid foundation for future investigations.  the book is amply illustrated and contains a useful glossary.  it will be of use in advanced undergraduate and graduate courses on memory, and to psychologists and neuroscientists desiring an account of memory that is informed equally by cognitive and neurobiological insights.","psychology , cognitive psychology and cognition"
965,lifespan development of human memory,"peter graf, nobuo ohta","an original approach to memory development that views memory as a continuous process of growth and loss over the human lifespan rather than as a series of separate periods.until recently, the vast majority of memory research used only university students and other young adults as subjects. although such research successfully introduced new methodologies and theoretical concepts, it created a bias in our understanding of the lifespan development of memory. this book signals a departure from young-adult-centered research. it views the lifespan development of memory as a continuous process of growth and loss, where each phase of development raises unique questions favoring distinct research methods and theoretical approaches. drawing on a broad range of investigative strategies, the book lays the foundation for a comprehensive understanding of the lifespan development of human memory.topics include the childhood and adulthood development of working memory, episodic and autobiographical memory, and prospective memory, as well as the breakdown of memory functions in alzheimer's disease. of particular interest is the rich diversity of approaches, methods, and theories. the book takes an interdisciplinary perspective, drawing on work from psychology, psychiatry, gerontology, and biochemistry.","psychology , cognitive psychology and cognition"
966,"use both sides of your brain: new mind-mapping techniques, third edition",tony buzan,"from the bestselling author of the mind map book, proven mind mapping techniques to help you raise all levels of your intelligence and creativity, based on the latest discoveries about the human brain.   using the latest research on the workings of the human brain, tony buzan, one of the world's leading authorities on learning techniques, provides step-by-step exercises for discovering the powers of the right side of the brain and learning to use the left side more effectively. by increasing our understanding of how the mind works, he teaches us:  ·         how to read faster and more effectively ·         how to study more efficiently and increase overall memory ·         how language and imagery can be used for recording, organizing, remembering, creative thinking and problem solving.   this completely updated third edition of a classic work provides a proven way of using our brains to their fullest potential and to our best advantage.","psychology , cognitive psychology and cognition"
967,the memory prescription: dr. gary small's 14-day plan to keep your brain and body young,"gary w. small, gigi vorgan","now in paperback, the fastest proven memory improvement program from the doctor who pioneered the science what did you forget this week--your car keys? cell phone? a friend's birthday? now help is here! new research, pioneered by dr. gary small, shows that you can improve your memory in just two weeks--with a diet high in omega-3 fatty acids, combined with exercise, stress reduction, and a 15-minute-a-day program of memory aerobics. this simple yet effective program is based on years of medical research at one of the country's leading memory loss institutions, and now dr. small enables readers to put the results to work for them through his easy to implement, step-by-step regimen than can be customized for each person's specific needs.","psychology , cognitive psychology and cognition"
968,pet owner's guide to the golden retriever,bernard bargh,"looks at the history of the breed, tells how to select and care for a puppy, and discusses grooming, training, feeding, shows, and breeding","technology and engineering , general"
969,africa in my blood: an autobiography in letters: the early years,jane goodall,"africa in my blood is an extraordinary self-portrait, in letters and commentary, of jane goodall's early years, from childhood to the landmark publication of in the shadow of man. it reveals this remarkable woman more vividly and clearly than anything that has been published before, by her or about her. we see goodall grow from a schoolgirl into the promising young candidate whom the legendary louis leakey sent to a wildlife preserve on the shores of lake tanganyika to undertake a revolutionary study of chimpanzees. at gombe we see her immerse herself in the lives of wild animals as no one had done before.  africa in my blood is a dramatic, moving, funny, and important book that tells the story of how an english girl who loved animals became one of the greatest scientists of the twentieth century.","biography and autobiography , science and technology"
970,weapons grade: how modern warfare gave birth to our high-tech world,david hambling,"understanding how business is likely to evolve in the coming years is itself a multi-million dollar business. plenty of gurus, academics and snake-oil salesmen will tell you all about the future ? for a price. what all of these experts often overlook is that the future is already here. chances are, the products and services we will buy and sell tomorrow are available ? to a very limited clientele ? at a top-secret research institute near you.throughout human history war and the threat of war have driven innovation and accelerated the uptake of new technology ? from the nomadic warriors who introduced the stirrup and the kebab to the world, to the british navy’s funding of marconi’s new-fangled radio. and since 1945 the relationship between military needs and modern business has grown ever closer, especially in the united states. david hambling traces the history of this relationship in the modern era and shows how precision eye surgery emerged out of the military quest for a ?death ray,’ how transistors and silicon chips first helped build better bombs, and exactly why the 747 has such a distinctive shape.","technology and engineering , military science"
971,the time-life book of annuals (time-life encyclopedia of gardening),james underwood crockett,describes the characteristics and care requirements of the most popular annuals,"technology and engineering , general"
972,what do you care what other people think: further adventures of a curious character,richard phillips feynman,"this two-part profile of the late nobel prize-winning scientist reveals the influence of his father and his first wife on his life and discusses his role in the investigation of the ""challenger"" explosion","biography and autobiography , science and technology"
973,other worlds: a beginners guide to planets and moons,terence dickinson,"what are other planets like? do they have air and clouds? water and rocks? could we walk on the moons of saturn? are there planets orbiting around other stars?    using colorfully dramatic but scientifically accurate illustrations, as well as the latest spacecraft and hubble space telescope portraits of other worlds, terence dickinson answers these questions and more in other worlds, a fact- and fun-filled tour of the solar system's 9 planets, their 61 known moons and the suspected planets of other stars in our galaxy.    stand on the rim of a martian canyon, watch solar systems being born, visit a sulfur-spewing volcano on jupiter's moon io (pronounced eye-oh), plunge into the red atmosphere of saturn's moon titan and gaze at the swirling su! rface of a brown dwarf. travel with award-winning astronomy writer dickinson on this gigantic odyssey on other worlds, his latest book for young            readers.","juvenile nonfiction , technology , aeronautics, astronautics and space science"
974,tropical fish golden guide (golden guides),bruce w. halstead,describes the features and care of many fish species as well as other aquarium inhabitants suitable for the tropical tank,"technology and engineering , general"
975,all about the parrots,arthur freud,"various types of parrots, macaws, cockatoos, conures, cockatiels, budgies, and mynah birds are depicted, with notes on their care, feeding, and training","technology and engineering , general"
976,better off: flipping the switch on technology (p.s.),eric brende,"what is the least we need to achieve the most? with this question in mind, mit graduate eric brende flipped the switch on technology. he and his wife, mary, ditched their car, electric stove, refrigerator, running water, and everything else motorized or ""hooked to the grid,"" and spent eighteen months living in a remote community so primitive in its technology that even the amish consider it antiquated.better off is the story of their real-life experiment to see whether our cell phones, wide-screen tvs, and suvs have made life easier -- or whether life would be preferable without them. this smart, funny, and enlightening book mingles scientific analysis with the human story to demonstrate how a world free of technological excess can shrink stress -- and waistlines -- and expand happiness, health, and leisure.this p.s. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.","technology and engineering , general"
977,the aeronauts (the epic of flight),donald dale jackson,"chronicles the history of ballooning from the eighteenth through the twentieth centuries, describing the principles of balloon flight and looking at the uses of balloons for travel, warfare, and recreation","technology and engineering , general"
978,the death of distance: how the communications revolution will change our lives,frances cairncross,"examines the ways in which advances in telecommunication will change the way companies do business, governments are run, and families and friends interact","technology and engineering , telecommunications"
979,akcs world of the pure bred dog,duncan barnes,"shows different breeds of dogs, discusses various types of dog shows and field trials, and looks at dogs in art and literature","technology and engineering , general"
980,country finishes: simple paint treatments for found and unfinished furniture,"richard kollath, george ross","twenty-two original paint projects show readers how to turn flea-market finds and generic unfinished furniture into charming country classic, presenting all the necessary techniques, including sponging, stippling, scumbling, stenciling, combing, and decoupage.","technology and engineering , general"
981,the next world war: computers are the weapons & the front line is everywhere,james adams,"the washington bureau chief of the london sunday times draws on two decades of research and intelligence to present his theory that information is becoming the ultimate weapon as computer chips have permanently changed the nature of warfare. 30,000 first printing.","technology and engineering , military science"
982,so others might live,terry golway,"on september 11, 2001, the courage and sacrifice of the new york city fire department inspired the nation, giving new meaning to the word ""hero."" but the heroism of the firefighters was not unique to september 11--it has been part of the fdny's tradition from the very beginning. journalist terry golway, whose father, father-in-law, godfather, and uncles were all new york firefighters, tells as no one else could the story of the men and women, tragedies and triumphs of the fdny throughout its history. from the original eighteenth-century volunteer force to the new york firefighter unit in the union army, from the triangle shirtwaist fire to the arson epidemic of the 1970s, to contemporary issues of diversity and efficiency, golway's history holds up a mirror for firefighters throughout the u.s.in this first comprehensive chronicle of the fdny in over sixty years, golway weaves together stories of heroic firefighters and extraordinary fires to create a moving and original history of the city and the vocation as seen through the eyes of ""new york's bravest."" from america's most ambitious public-works project of the 1700s--the building of aqueducts from upstate to help control fires--to firefighter-turned-politician boss tweed's backroom politics, fire and firefighters have always been an integral part of the history of the city. lively, gut-wrenching, and ultimately inspiring, so others might live offers a new view of the building of american cities and the people who made them great.as a tribute to the firefighters of new york, basic books will donate a portion of its proceeds from the sale of so others might live to the new york firefighters 911 disaster relief fund.","technology and engineering , fire science"
983,incredible flying machines,christopher maynard,"information about various types of aircraft is accompanied by photographs of airplanes, equipment, and gear","juvenile nonfiction , technology , general"
984,"the air force integrates, 1945-1964, second edition (smithsonian history of aviation series)",alan l. gropman,"on april 5, 1945, more than sixty black officers of the u.s. army air forces were arrested for entering a whites-only club at freeman field, indiana, to protest the rigid segregation and unequal policies under which they and all african american airmen were forced to serve. termed a mutiny by the white commanders at the base, the incident was one of several racial conflicts during the next four years that helped convince senior officers in the newly independent air force that segregation was an inefficient personnel policy. documenting the racial integration of the air force from the end of world war ii to the passage of the civil rights act of 1964, alan l. gropman contends that the service desegregated itself not for moral or political reasons but to improve military effectiveness. he draws on a range of unpublished records to show that, while proceeding smoothly, air force integration initially did little to ensure fair promotion practices or to protect african americans from off-post discrimination, especially in housing, entertainment, and education. gropman also outlines the political motivations of president truman's 1948 executive order 9981 for equal opportunity in the military and reviews controversial kennedy administration initiatives that attempted to place the military at the forefront of civil rights reform. first published in 1977, the book now includes a new preface charting the policy changes that have dramatically increased the numbers of black officers and senior supervisors in the air force during the past two decades. detailing the uneven progress of a major shift in military policy, the air force integrates also illuminates the often pragmatic motivations of those who bring about fundamental social change.","technology and engineering , military science"
985,living with cats,gale b. nemec,"the first companion volume to the pbs series living with animals offers tips on every aspect of cat care, including feeding, grooming, training, and cat-proofing a home. original. tv tie-in. 20,000 first printing.","technology and engineering , general"
986,space shuttle,robin kerrod,"traces the beginnings and developments of the shuttle, shuttle astronauts, in-orbit operations, and speculations on goals for tomorrow","technology and engineering , general"
987,the patterns of war since the eighteenth century,larry h. addington,"this important work... synthesizes the evolution of warfare from 1775 to the present."" —military reviewa thorough revision of a highly successful text, this new edition provides a comprehensive picture of the evolution of modern warfare.from reviews of the first edition:there is nothing else in print that tells so much so concisely about how war has been conducted since the days of gen. george washington.""—russell f. weigleya superior synthesis. well written, nicely organized, remarkably comprehensive, and laced with facts.""—military affairs","technology and engineering , military science"
988,dragonfly: nasa and the crisis aboard mir,bryan burrough,"the co-author of the best-seller, barbarians at the gate, offers a behind-the-scenes account of nasa's ambitious, sometimes tumultuous involvement with russia's problem-plagued mir space station over three years. 175,000 first printing.","technology and engineering , aeronautics and astronautics"
989,increasing student learning through multimedia projects,michael simkins,"addressed to k-12 teachers, discusses enhancing student achievement through project-based learning with multimedia and offers principles and guidelines to insure that multimedia projects address curriculum standards.","education , computers and technology"
990,bermuda petrel: the bird that would not die,francine jacobs,"discusses the bermuda petrel, a bird that nests only in bermuda, and how it was saved from extinction.","technology and engineering , general"
991,tips and techniques for builders (fine homebuilding),charles miller,"no building job, whether new construction, renovation or remodeling, always goes exactly as planned, so builders learn to improvise solutions. and they often share what they learn in fine homebuilding magazine. here is a collection of such tested and proven tips and advice straight from the pages of the magazine.","technology and engineering , construction , general"
992,exterior details: an inspirational and practical guide to transforming the outside of your home,jocasta innes,"a compendium of exterior building treatments offers a wide range of ideas and practical advice on creating a home exterior to suit every taste, style, and budget","technology and engineering , general"
993,hindenburg: an illustrated history,"ken marschall, rick, archbold, ken marschall","hindenburg: an illustrated history chronicles the complete story of the great dirigibles - from the pioneering efforts of count ferdinand von zeppelin to the brief career of the hindenburg's little-known sister ship, the graf zeppelin ii. at the turn of the century zeppelins established the world's first passenger-carrying airline. but world war i bombing raids over london earned them the label ""baby-killers."" in the postwar years great britain and the united states competed with germany for the prestige of building the world's most advanced airship. the british envisioned an empire linked by a fleet of silver giants. for the united states navy, the zeppelin would be a flying aircraft carrier, transporting fighter planes in its belly.by the late 1920s it seemed that the airship was poised to conquer the skies. in 1926 explorer roald amundsen flew across the arctic ocean in the dirigible norge. an ecstatic new york ticker-tape parade greeted the graf zeppelin at the end of her pioneering 1929 round-the-world flight. the graf soon went on to establish the first ever non-stop transatlantic air service.but not all airship enterprises ended in triumph. two years after the norge's arctic exploit, the italia crashed on a polar ice floe, stranding her surviving crew for forty-nine days. and the first intercontinental flight of the british airship r 101 ended in flames in a french field. the u.s. navy airships akron and macon were wrecked by storms at sea within two years of each other. a haunting photo mosaic shows the site where underwater cameras recently located the skeleton of the huge dirigible macon on the ocean floor, lying with the sparrowhawk fighters that were once housed in her internal hangar.hindenburg: an illustrated history vividly re-creates a time when many believed that lighter-than-air craft held the promise of the future. highlighted by a highly readable, informative text and illustrated with hundreds of breathtaking images, this magnificent book brings to life a remarkable chapter in the history of flight.","technology and engineering , general"
994,"blizzards and ice storms (weather channel, 5)",maria rosado,"what makes a blizzard blow? how does an ice storm form? which were the worst snowstorms in u.s. history? what causes an avalanche? the answers to these questions and many more are answered in this book that also includes gripping firsthand accounts from people who have survived some of nature's snowiest disasters. chock-full of fun facts and experiments, survival tips, colorful photographs -- and so much more!","juvenile fiction , science and technology"
995,the unbounding future: the nanotechnology revolution,"chris peterson, k. eric, drexler, gayle pergamit","nanotechnology involves the ability to manipulate matter on a molecular level with an atom-by-atom level of precision. the authors explain in a nontechnical way what nanotechnology is, how it works, and its potential to radically alter industry, medicine, economics, military research, and the environment. annotation copyright book news, inc. portland, or.","technology and engineering , general"
996,george washington carver: the peanut wizard (smart about history),"jill weber, laura driscoll","introducing smart about scientists! these books feature fascinating biographical information about the world's greatest scientists, ideas on scientific thinking, and real science experiments kids can try at home.  annie marcus is just nuts about peanut butter! when annie finds out that george washington carver was responsible for the popularity of peanuts, she picks him for her scientist report. annie learns all sorts of fascinating info-george washington carver was born into slavery, but his dedication and unquenchable thirst for knowledge drove him to become a professor at a time when most institutions of higher learning were closed to blacks. this title explores carver's brilliant career and discoveries, as well as his triumph over segregation to become one of the world's most renowned plant experts.  illustrated by jill weber.","juvenile nonfiction , biography and autobiography , science and technology"
997,telecosm: how infinite bandwidth will revolutionize our world,george gilder,"the publisher of the gilder technology report predicts a revolution of high-speed, high-powered networks--not limited to the capacity of a pc--that will enable users to transmit information at an exponentially higher rate. tour.","technology and engineering , telecommunications"
998,"the home workshop planner: a guide to planning, setting up, equipping, and using your own home workshop (better homes and gardens wood)",gene schnaser,a guide to starting or improving a home workshop includes money-saving tips and five sample floor plans,"technology and engineering , general"
999,"project management: a systems approach to planning, scheduling, and controlling",harold kerzner,"this text for undergraduate and graduate courses in business and engineering covers basic principles and concepts of project management in depth, with 46 case studies and many sample problems across a range of industries. the structure of the text reflects the importance of behavioral rather than quantitative aspects of project management. early chapters present core topics and deal with support functions and executive involvement. later chapters look at quantitative issues such as planning and cost control, and cover more advanced topics such as managing cultural differences, quality management, concurrent engineering, and contracts and procurement. kerzner teaches systems management at baldwin-wallace college. annotation c. book news, inc., portland, or (booknews.com)","technology and engineering , industrial engineering"
1000,bridges,david j. brown,"an aesthetic and engineering celebration of 100 great bridges of the world. hundreds of fine color plates, extensive captions and textual elucidation of practice and principles with details of location, erection date, materials, and dimensions. many line drawings elucidate mechanics and dimensions. neglects machinery used in movable bridges, and most glaring the europa bridge (indeed brown has largely ignored austrian work). annotation copyright book news, inc. portland, or.","technology and engineering , civil , general"
1001,the new face of war: how war will be fought in the 21st century,bruce d. berkowitz,"as american and coalition troops fight the first battles of this new century -- from afghanistan to yemen to the philippines to iraq -- they do so in ways never before seen. until recently, information war was but one piece of a puzzle, more than a sideshow in war but far less than the sum total of the game. today, however, we find information war revolutionizing combat, from top to bottom. gone are the advantages of fortified positions -- nothing is impregnable any longer. gone is the reason to create an overwhelming mass of troops -- now, troop concentrations merely present easier targets. instead, stealth, swarming, and ""zapping"" (precision strikes on individuals or equipment) are the order of the day, based on superior information and lightning-fast decision-making. in many ways, modern warfare is information warfare.  bruce berkowitz's explanation of how information war revolutionized combat and what it means for our soldiers could not be better timed. as western forces wage war against terrorists and their supporters, in actions large and small, on several continents, the new face of war explains how they fight and how they will win or lose. there are four key dynamics to the new warfare: asymmetric threats, in which even the strongest armies may suffer from at least one achilles' heel; information-technology competition, in which advantages in computers and communications are crucial; the race of decision cycles, in which the first opponent to process and react to information effectively is almost certain to win; and network organization, in which fluid arrays of combat forces can spontaneously organize in multiple ways to fight any given opponent at any time.  america's use of networked, elite ground forces, in combination with precision-guided bombing from manned and unmanned flyers, turned afghanistan from a soviet graveyard into a lopsided field of american victory. yet we are not invulnerable, and the same technology that we used in kuwait in 1991 is now available to anyone with a credit card and access to the internet. al qaeda is adept in the new model of war, and has searched long and hard for weaknesses in our defenses. will we be able to stay ahead of its thinking? in iraq, saddam's army is in no position to defeat its enemies -- but could it defend baghdad? as the world anxiously considers these and other questions of modern war, bruce berkowitz offers many answers and a framework for understanding combat that will never again resemble the days of massive marches on fortress-like positions.  the new face of war is a crucial guidebook for reading the headlines from across our troubled planet.","technology and engineering , telecommunications"
1002,commonsense book of complete cat care,louis l. vine,"information on selective breeding, whelping, and pre- and post-natal care is included in a treatment of every aspect of the cat's physical and mental health","technology and engineering , general"
1003,they made america: from the steam engine to the search engine: two centuries of innovators,"harold evans, gail, buckland, david lefer","the flourishing of america is the story of an inventive people with a mystic faith in technology, from the early settlers who used windmills as a way of getting water on the great plains to the electronic whiz kids of the internet. innovation, practical inventiveness, is the main force behind america's preeminence. but there is more to this extraordinary history. harold evans traces how the innovators have time and again proved to be democratizers, driven not by greed but by an ambition to be remembered. they translated the nation's political ideals into economic reality.","technology and engineering , history"
1004,the control revolution: how the internet is putting individuals in charge and changing the world we know,andrew l. shapiro,"shows how the internet has enabled individuals to take power from institutions, and examines the benefits and drawbacks of these changes","technology and engineering , general"
1005,the tiger on your couch: what the big cats can teach you about living in harmony with your house cat,"bill fleming, judy petersen-fleming","the ultimate cat care guide applies information about the big cats--lions and tigers and such--to the average feline house pet, offering tips on choosing a kitten, making cat toys, bathing, and much more.  35,000 first printing. $30,000 ad/promo.","technology and engineering , general"
1006,crossing the chasm: marketing and selling high-tech products to mainstream customers,geoffrey a. moore,"here is the bestselling guide that created a new game plan for marketing in high-tech industries. crossing the chasm has become the bible for brining cutting-edge products to progressively larger markets. this revised and updated edition provides new insights into the realities of high-tech marketing, with special emphasis on the internet. it's essential reading for anyone with a stake in the world's most exciting marketplace.","technology and engineering , industrial technology"
1007,soft edge:nat hist&future info,paul levinson,"the soft edge is a one-of-a-kind history of the information revolution. in his lucid and direct style, paul levinson, historian and philosopher of media and communications, gives us more than just a history of information technologies. the soft edge is a book about theories on the evolution of technology, the effects that human choice has on this (r)evolution, and what's in store for us in the future.paul levinson's engaging voice guides us on a tour that explains how communications media have been responsible for major developments in history and for profound changes in our day-to-day lives. levinson presents the intriguing argument that technology actually becomes more human. we see how information technologies are selected on the basis of how well they meet human needs. why is email more like speech than print is? why didn't the arrival of television destroy the radio? these and many more thought provoking questions are answered in the soft edge.boldly extending and deepening the pathways blazed by mcluhan, paul levinson has provided us with a brilliant and exciting study of life with our old media, our new media, and the media still to come.","technology and engineering , industrial technology"
1008,"low-cost, energy-efficient shelter for the owner and builder",eugene eccli,"explains economical ways of building, renovating, and repairing homes with a view toward minimizing operating expenses","technology and engineering , general"
1009,engineers of dreams: great bridge builders and the spanning of america,"henry petroski, edward kastenmeier","petroski reveals the science and engineering--not to mention the politics, egotism, and sheer magic--behind america's great bridges, particularly those constructed during the great bridge-building era starting in the 1870s and continuing through the 1930s. it is the story of the men and women who built the st. louis, the george washington, and the golden gate bridges, drawing not only on their mastery of numbers but on their gifts for persuasion and self-promotion. it is an account of triumphs and ignominious disasters (including the tacoma narrows bridge, which literally twisted itself apart in a high wind). and throughout this grandly engaging book, petroski lets us see how bridges became the ""symbols and souls"" of our civilization, as well as testaments to their builders' vision, ingenuity, and perseverance.""seamlessly linked...with astonishing scope and generosity of view, mr. petroski places the tradition of american bridge-building in perspective.""--new york times book review","technology and engineering , civil , general"
1010,edison: inventing the century,neil baldwin,"neil baldwin's edison: inventing the century is the first biography of one of the seminal figures in our history to examine him as both myth and man, assessing his remarkable accomplishments while taking thorough measure of the paradoxes of his character. drawing upon unprecedented access to edison family papers and years of research at the edison corporate archives, baldwin offers a revealing portrait of the inventor, in which we discover a man whose life epitomized the american dream as fully as he became a victim of its darker side. from his years as a fragile boy hawking newspapers on trains throughout the midwest to his arrival in new york city as an itinerant telegrapher seeking his fortune; from his development of the light bulb to his spectacular electrification of lower manhattan; from his struggles to create the phonograph and motion picture and bring them to market to his obsessive search for a source of natural rubber even as he was dying, edison: inventing the century is an enthralling chronicle of the most revered figure of his time.alongside the esteemed scientist stands the fiercely self-aggrandizing manufacturer of his own myth; the man possessed by a virtually incessant flow of ideas, who often fights brutally to protect those ideas in the marketplace; the man who publicly preaches the values of home life while his own family is plagued by clinical depression and alcoholism, and while his six neglected, aimless children from two marriages try to step from his massive shadow, yet prove, almost inevitably, to be a disappointment.","technology and engineering , general"
1011,the weekender's gardening manual,patricia a. taylor,"this illustrated book explains, season by season, how to achieve a beautiful, high-yield/low-maintenance garden while spending only two hours a week or less in actual gardening time","technology and engineering , general"
1012,day the bomb fell on america: true stories of the nuclear age,clyde w. burleson,"documents hazardous nuclear-energy incidents brought about by the shipping of radioactive materials, nuclear-waste disposal, deliberate sabotage, the theft of atomic fuels, and other causes and offers suggestions for surviving in the atomic age","technology and engineering , general"
1013,"lighting your home: inside and out- design, select, install",jane cornell,"the first part of lighting your home inside and out will tell readers everything they need to know to design lighting for their home. rather than live with an odd collection of lamps and fixtures, readers will learn how to create lighting schemes for every room as well as their yard. you will learn how to select lamps, fixtures, and bulbs that will work together to create safe, useful lighting that complements their furnishings, creates the mood they want, and increases the value of their home.equipped with their lighting schemes, readers are prepared for the second section oflighting your home inside and out. here, they will find large full-color diagrams and foolproof step-by-step directions for bringing their lighting plans to life. readers will learn to run electrical cable, install fixtures and switches, and even how to rewire that great old lamp they found at a flea market.","technology and engineering , mechanical"
1014,gardening in small spaces,marcus shneck,recommends methods of planting and cultivating vegetables for maximum yield in small gardens,"technology and engineering , general"
1015,amazing buildings,"philip wilkinson, paolo donati","looks at twenty-one famous buildings, including the palace of minos, the colosseum, the alhambra, chartres cathedral, the taj mahal, brighton pavilion, the houses of parliament, the paris opera, and the toronto skydome","technology and engineering , construction , general"
1016,"the pearsall guide to successful dog training: obedience ""from the dog's point of view""",margaret e. pearsall,"discusses the basic techniques and problems of basic command, novice, and advanced obedience training programs","technology and engineering , general"
1017,the man who listens to horses: the story of a real-life horse whisperer,"monty roberts, lawrence scanlan","monty roberts is a real-life horse whisperer--an american original whose gentle training methods reveal the depth of communication possible between man and animal. he can take a wild, high-strung horse who has never before been handled and persuade that horse to accept a bridle, saddle, and rider in thirty minutes. his powers may seem like magic, but his amazing ""horse sense""  is based on a lifetime of experience. roberts started riding at the age of two, and at the age of thirteen he went alone into the high deserts of nevada to study mustangs in the wild. what he learned there changed his life forever.     monty roberts has spent his whole life working with horses--schooling them, listening to them, and learning their ancient equine language. in the man who listens to horses, he tells about his early days as a rodeo rider in california, his problems with his violent horse-trainer father, who was unwilling to accept monty's unconventional training methods, his friendship with james dean, his struggle to be accepted in the professional horse-training community, and the invitation that changed his life--to demonstrate his method of ""join-up""  to the queen of england.     from his groundbreaking work with horses, roberts has acquired an unprecedented understanding of nonverbal communication, an understanding that applies to human relationships as well. he has shown that between parent and child, employee and employer (he's worked with over 250 corporations, including general motors, ibm, disney, and merrill lynch), and abuser and abused, there are forms of communication far stronger than the spoken word and that they are accessible to all who will learn to listen. this inspirational and gentle man, first introduced to the american public on dateline nbc, is part james herriot, part bill gates, and part john wayne. and his story is one you will never forget.","technology and engineering , general"
1018,do your ears pop in space?: and 500 other surprising questions about space travel,r. mike mullane,"""an excellent reference. this book has to be on the shelf of everyspace buff."" --james lovell, commander, apollo 13.  get the inside story on outer space from three-time shuttleastronaut r. mike mullane.  ""a fascinating collection of honest, factual, from-the-heartanswers to the most often asked questions about spaceflight andspacefliers. required reading for all who aspire to travel inspace."" --kathy thornton, 4-mission shuttle astronaut, world recordholder for spacewalks by a woman.  ""a brilliant addition to the understanding of space flight. only aman who has been there--outer space--and done that--fly the spaceshuttle--could render the complexities of flying in space solucidly."" --walter j. boyne, colonel, usaf (ret.), former director,national air and space museum.  ""a highly informative inside view of what astronauts reallyexperience in space."" --ed buckbee, former director, u.s. space& rocket and u.s. space camp.  ""all astronauts have been peppered with great questions. mikemullane has great answers."" --vice admiral richard h. truly, u.s.navy (ret.), columbia 1981, challenger 1983, nasa administrator1989-1992.","technology and engineering , aeronautics and astronautics"
1019,"walks, walls & patio floors",scott atkinson,"an illustrated guide to building garden walks and walls from bricks, asphalt, concrete, stones, tiles, and wood","technology and engineering , general"
